time_s,s_time_corrected_s,No of GPS Satellites Available,Time Since Start of Day (seconds),Latitude (degrees),Longitude (degrees),Velocity (km/hr),Heading (degrees),Height (km),Vertical velocity (km/hr),Sample period (seconds),Steering Angle (degrees),Wheel Speed Front Left (rad/sec),Wheel Speed Front Right (rad/sec),Wheel Speed Rear Left (rad/sec),Wheel Speed Rear Right (rad/sec),Yaw Rate (deg/sec),Indicated Vehicle Speed (km/hr),Indicated Longitudinal Acceleration (g),Indicated Lateral Acceleration (g),Handbrake (0 or 1),Gear Requested (Number fof gear employed 1-5),Gear (Number fof gear employed 1-5),Engine Speed (rev/min),Coolant Temperature (degrees),Clutch Position (0 or 1),Brake Pressure (psi),Brake Position (0 or 1),Battery Voltage (volts),Air Temperature (degrees),Accelerator Pedal Position (0 or 1),S_GPS LATITUDE (degrees),S_GPS LONGITUDE (degrees),S_GPS ALTITUDE (m),S_GPS SPEED (Kmh),S_GPS ACCURACY (m),S_GPS ORIENTATION (Â°),S_GPS SATELLITES IN RANGE,S_TIME SINCE START (ms),S_DATE (YYYY-MO-DD HH-MI-SS_SSS),S_ACCELEROMETER X (m/s²),S_ACCELEROMETER Y (m/s²),S_ACCELEROMETER Z (m/s²),S_GRAVITY X (m/s²),S_GRAVITY Y (m/s²),S_GRAVITY Z (m/s²),S_GYROSCOPE Yaw (rad/s),S_GYROSCOPE Pitch (rad/s),S_GYROSCOPE Roll (rad/s),S_MAGNETIC FIELD X (Î¼T),S_MAGNETIC FIELD Y (Î¼T),S_MAGNETIC FIELD Z (Î¼T),S_ORIENTATION (Yaw) (Â°),S_ORIENTATION (Pitch) (Â°),S_ORIENTATION (Roll ) (Â°)
58063.4,58063.40017,9,58063.4,52.2018366,-2.201703,16.348,91.834,78.15,-0.24,0.1,10.70001,16,16.09,16.12,16.2,-0.1000061,16.05,-0.009180069,0.05915999,0,2,3,1224,88,0,0.05999756,0,13.8,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13939310,2020-01-08 16:07:42:904,0.5483,-0.8265,10.1632,-0.0005,-0.0185,9.8066,-0.0286,0.0385,-0.0672,-19.56,-35,4.63,346.07,-88.66,-117.41
58063.5,58063.50017,9,58063.5,52.2018366,-2.2016962,16.603,90.375,78.11,-0.26,0.1,7.599976,16.43,16.17,16.52,16.24,-0.1000061,16.34,-0.03978014,-0.02958012,0,2,3,1229,88,0,-0.1700134,0,13.8,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13939410,2020-01-08 16:07:43:004,0.7506,-0.1011,8.1519,-0.0057,0.0277,9.8066,-0.043,-0.0119,0.0733,-18.87,-35.06,3.63,348.22,-88.7,-113.19
58063.6,58063.60017,9,58063.6,52.2018363,-2.2016895,16.56,91.875,78.08,-0.26,0.1,2.099976,16.59,16.66,16.64,16.36,0.2000122,16.6,-0.06936002,-0.04997993,0,2,3,1229,88,0,0.05999756,0,13.8,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13939510,2020-01-08 16:07:43:104,1.1884,1.3127,9.5734,-0.0546,-0.0169,9.8064,0.0157,0.0605,0.023,-20,-34.87,3.5,356.34,-88.61,-104.82
58063.7,58063.70017,9,58063.7,52.201836,-2.2016829,16.312,93.728,78.04,-0.27,0.1,0,16.75,16.78,16.81,16.7,0.8999939,16.8,-0.06936002,0.05915999,0,2,3,1232,88,0,-0.1700134,0,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13939610,2020-01-08 16:07:43:204,-0.1039,-2.3097,10.5122,-0.0294,-0.0381,9.8065,-0.0753,-0.0703,0.1178,-20.19,-34.81,4.13,18.05,-88.09,-84.28
58063.8,58063.79917,9,58063.8,52.2018358,-2.2016763,16.261,93.143,78.02,-0.26,0.1,0,16.79,16.98,17.14999,17.21,1.300018,16.9,-0.05915999,0.1091399,0,2,3,1231,88,0,-0.1700134,0,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13939709,2020-01-08 16:07:43:303,-1.5682,-2.7794,12.0219,-0.002,-0.011,9.8066,0.068,0.4286,-0.2767,-19.87,-34.69,3.31,21.76,-87.88,-78.14
58063.9,58063.90017,9,58063.9,52.2018358,-2.2016695,16.441,90.557,77.99,-0.26,0.1,0,17.1,17.03,17.3,17.17,0.8000183,17.01,-0.02958012,0.05915999,0,2,3,1227,88,0,0.05999756,0,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13939810,2020-01-08 16:07:43:404,-1.6643,-2.6769,10.6104,0.0533,0.0284,9.8064,-0.0364,0.0372,-0.189,-19.44,-34.87,2.88,14.7,-88.47,-84.98
58064,58064.00017,9,58064,52.2018358,-2.2016629,16.276,89.75,77.94,-0.29,0.1,0,17.07999,17.18999,16.68999,17.2,1.800018,17.13,-0.01938009,-0.01938009,0,2,3,1232,88,0,-0.1700134,0,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13939910,2020-01-08 16:07:43:504,1.1128,1.9923,9.6948,0.0169,-0.0695,9.8064,0.1252,0.4399,-0.3131,-18.87,-34.19,3.25,356.82,-88.94,-102.04
58064.1,58064.10017,9,58064.1,52.2018355,-2.2016561,16.56,91.609,77.9,-0.3,0.1,0,16.89999,17.18,16.68,16.64999,3.600006,17.04,-0.009180069,-0.06936002,0,2,3,1234,88,0,-0.1700134,0,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13940010,2020-01-08 16:07:43:604,1.2523,2.945,9.1146,0.0559,-0.0154,9.8064,0.1669,0.0697,0.1174,-19.5,-34.69,3.88,337.4,-88.24,-123.27
58064.2,58064.20017,9,58064.2,52.2018352,-2.2016492,16.898,93.193,77.87,-0.29,0.1,0,16.79,17.05,17.12,16.86,2.300018,16.93,-0.009180069,0.02957988,0,2,3,1221,88,0,-0.1700134,0,13.7,14.25,1.5,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13940110,2020-01-08 16:07:43:704,1.0346,-0.2721,9.5119,0.0565,-0.0975,9.8059,0.1737,0.2198,-0.1151,-20.5,-34.19,4.31,327.73,-87.5,-131.33
58064.3,58064.30017,9,58064.3,52.201835,-2.2016422,17.143,93.13,77.86,-0.26,0.1,0,16.74,17.07999,17.06,17.14999,3.600006,16.9,-0.03978014,0.1897199,0,2,3,1232,88,0,-0.1700134,0,13.8,14.25,4.5,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13940210,2020-01-08 16:07:43:804,0.0053,-1.9626,9.4118,0.0483,-0.0013,9.8065,0.0576,0.0018,-0.1644,-19.81,-34.06,5,321.61,-86.51,-138.8
58064.4,58064.39917,9,58064.4,52.201835,-2.2016351,17.428,90.573,77.84,-0.25,0.1,0,16.82,17.2,16.88,17.43999,5.5,16.95,-0.04997993,0.16014,0,2,3,1271,88,0,0.05999756,0,13.8,14.25,4.5,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13940309,2020-01-08 16:07:43:903,-0.4739,-2.5457,11.1182,0.0019,0.0018,9.8065,0.0172,0.4594,-0.474,-19,-34.56,5.38,310.03,-86.63,-150.06
58064.5,58064.50017,9,58064.5,52.2018351,-2.2016283,16.898,89.129,77.82,-0.24,0.1,0,16.82999,17.35,16.68999,17.39,5.700012,17,-0.03978014,0.04997993,0,2,3,1317,88,0,-0.1700134,0,13.7,14.25,4.5,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13940410,2020-01-08 16:07:44:004,-0.1077,0.1041,9.7699,0.0146,0.0698,9.8063,-0.0253,0.0556,0.0044,-19.62,-35.12,4.38,294.5,-87.11,-162.27
58064.6,58064.59917,9,58064.6,52.2018352,-2.2016214,17.046,88.461,77.8,-0.23,0.1,0,16.81,17.37,16.77,17.32999,5.5,17.07,-0.01938009,0.009180069,0,2,3,1369,88,0,-0.1700134,0,13.8,14.25,4.5,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13940509,2020-01-08 16:07:44:103,-0.6843,1.2321,10.0567,-0.0393,-0.0451,9.8064,0.0976,0.4839,-0.1346,-19.25,-35.06,4.25,294.8,-87.28,-162.6
58064.7,58064.70017,9,58064.7,52.2018352,-2.2016144,17.053,88.933,77.77,-0.23,0.1,0,16.78,17.28,16.77,17.07999,5.600006,17.12,-0.01938009,0.01937985,0,2,3,1439,88,0,0.05999756,0,13.7,14.25,4.5,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13940610,2020-01-08 16:07:44:204,0.4738,4.5402,10.0262,-0.0111,-0.0525,9.8064,0.0739,0.2371,-0.1661,-19.06,-34.87,3.5,307.05,-87.21,-150.78
58064.8,58064.80017,9,58064.8,52.2018353,-2.2016076,16.816,88.663,77.77,-0.21,0.1,0,16.89999,17.36,16.88,17.23,5.399994,17.08,-0.01938009,0.02957988,0,2,3,1488,88,0,-0.1700134,0,13.7,14.25,5.5,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13940710,2020-01-08 16:07:44:304,0.481,1.2561,9.3849,-0.0085,-0.076,9.8063,0.0876,0.5136,-0.3029,-20.06,-35.19,4,304.62,-87,-152.41
58064.9,58064.89917,9,58064.9,52.2018354,-2.2016005,17.438,88.185,77.74,-0.22,0.1,0,16.91,17.42,16.93,17.3,5.200012,17.14,-0.009180069,0.07956004,0,2,3,1529,88,0,0.05999756,0,13.7,14.25,8,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13940809,2020-01-08 16:07:44:403,1.4573,2.6221,9.7357,0.0078,-0.02,9.8066,0.0385,0.4374,-0.1931,-20,-35.44,4.5,309.17,-86.74,-150.52
58065,58064.99917,9,58065,52.2018356,-2.2015936,16.884,87.686,77.73,-0.2,0.1,0,17.16,17.59,17.04,17.53,5.200012,17.28,0,0.08976007,0,2,3,1547,88,0,-0.1700134,0,13.7,14.25,9,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13940909,2020-01-08 16:07:44:503,0.5302,-1.9864,9.3869,-0.0004,-0.004,9.8066,0.0485,0.2542,-0.0988,-19.62,-35.37,3.44,298.75,-86.76,-154.81
58065.1,58065.10017,9,58065.1,52.2018359,-2.2015865,17.604,86.181,77.72,-0.18,0.1,0,17.29,17.73,17.31,17.64,5.399994,17.47,0.009180069,0.05915999,0,2,3,1589,88,0,0.07000732,0,13.8,14.25,9,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13941010,2020-01-08 16:07:44:604,0.7141,3.0391,10.5104,-0.0176,-0.0383,9.8065,0.0752,0.4508,-0.3246,-18.87,-34.81,3.31,295.03,-86.76,-158.55
58065.2,58065.20017,9,58065.2,52.2018363,-2.2015793,17.539,85.25,77.69,-0.2,0.1,0,17.54,17.92,17.50999,17.96999,4.899994,17.67,0.01937985,0.01937985,0,2,3,1618,88,0,0.07000732,0,13.7,14.25,9,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13941110,2020-01-08 16:07:44:704,-0.7126,-1.169,10.4791,0.0209,-0.0326,9.8065,-0.0204,0.0708,-0.0684,-18.94,-35.56,3.94,291.16,-86.83,-165.21
58065.3,58065.30317,9,58065.3,52.2018366,-2.2015722,17.586,85.43,77.68,-0.18,0.1,0,17.64,18.18999,17.63,18.06,5.100006,17.91,0.01937985,0,0,2,3,1630,88,0,-0.1600037,0,13.7,14.25,9,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13941213,2020-01-08 16:07:44:807,1.0186,-0.1583,9.7152,0.0182,-0.0283,9.8065,0.0043,0.1745,0.0498,-19.12,-35.5,3.13,290.19,-86.54,-162.83
58065.4,58065.40017,9,58065.4,52.2018369,-2.2015649,17.827,85.821,77.66,-0.18,0.1,0,17.92,18.3,17.96999,18.18999,4.600006,18.07,0.0397799,0.04997993,0,2,3,1652,88,0,0.07000732,0,13.8,14.25,9,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 24,13941310,2020-01-08 16:07:44:904,1.0467,-0.3936,10.3915,0.0099,-0.0086,9.8066,0.0553,0.0813,0.0652,-19.44,-35.37,3.88,296.81,-86.39,-159.21
58065.5,58065.50017,9,58065.5,52.2018373,-2.2015575,18.23,84.907,77.64,-0.18,0.1,0,18.16,18.55,18.24,18.41,4.5,18.27,0.0397799,0.06936002,0,2,3,1675,88,0,-0.1600037,0,13.7,14.25,9,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 24,13941410,2020-01-08 16:07:45:004,-0.0345,-1.0686,9.1304,0.0177,-0.0061,9.8066,-0.0199,-0.0183,0.1056,-19.37,-34.87,2.88,293.4,-86.2,-159.15
58065.6,58065.60017,9,58065.6,52.2018377,-2.20155,18.518,84.469,77.63,-0.17,0.1,0,18.49,18.85,18.42,18.78,4.300018,18.59,0.0397799,0.05915999,0,2,3,1693,88,0,-0.1600037,0,13.8,14.25,9,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 24,13941510,2020-01-08 16:07:45:104,1.1686,0.8689,9.9674,0.0142,-0.0181,9.8065,0.0749,0.1661,-0.0618,-19.44,-35.81,3.94,292.1,-86.22,-163.23
58065.7,58065.70017,9,58065.7,52.2018383,-2.2015425,18.551,83.021,77.61,-0.17,0.1,0,18.68,19.07,18.61,19.05,4.200012,18.81,0.0397799,0.01937985,0,2,3,1714,89,0,0.07000732,0,13.7,14.25,9,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 24,13941610,2020-01-08 16:07:45:204,0.9259,1.8828,9.0043,0.0092,0.0377,9.8065,0.0348,-0.1555,0.0368,-19.12,-35.31,3.5,288.18,-86.27,-167.26
58065.8,58065.79917,9,58065.8,52.2018388,-2.2015347,19.13,82.908,77.59,-0.17,0.1,0,18.96,19.27,19.03,19.3,3.300018,19.03,0.04997993,0,0,2,3,1728,89,0,-0.1600037,0,13.7,14.25,9,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 24,13941709,2020-01-08 16:07:45:303,0.9511,0.726,10.7165,-0.0005,-0.021,9.8065,0.0607,-0.0614,0.1,-18.69,-35.56,3.31,287.79,-86.26,-164.46
58065.9,58065.90017,9,58065.9,52.2018394,-2.2015268,19.346,82.655,77.56,-0.18,0.1,2,19.32,19.46999,19.32,19.45,1.600006,19.32,0.04997993,-0.01938009,0,2,3,1729,89,0,-0.1600037,0,13.6,14.25,2,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 24,13941810,2020-01-08 16:07:45:404,0.6837,1.7307,9.3891,0.0148,-0.0395,9.8066,-0.0548,-0.0783,0.1725,-18.56,-35.25,2.81,289.58,-86.22,-162.85
58066,58065.99917,9,58066,52.20184,-2.201519,19.458,82.89,77.54,-0.18,0.1,4.5,19.61,19.71,19.59,19.64,1,19.6,0.02957988,-0.02958012,0,2,3,1735,89,0,0.07000732,0,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 24,13941909,2020-01-08 16:07:45:503,0.2007,-1.9393,9.1784,-0.0271,-0.0441,9.8064,-0.0347,-0.1632,0.1651,-19.69,-35.81,2.88,290.93,-86.24,-161.28
58066.1,58066.10017,9,58066.1,52.2018405,-2.2015109,19.876,83.11,77.52,-0.18,0.1,4.799988,19.71,19.98,19.96999,19.79,0.8000183,19.82,0.01937985,-0.009180069,0,2,3,1752,89,0,-0.1600037,0,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 24,13942010,2020-01-08 16:07:45:604,0.4811,0.9014,8.9714,0.0021,-0.054,9.8065,-0.141,-0.0997,0.1119,-18.94,-35.12,2.63,299.79,-86.22,-153.15
58066.2,58066.20017,9,58066.2,52.201841,-2.2015028,19.976,83.608,77.5,-0.18,0.1,6.5,20,20.04,20.2,19.89999,0.3000183,19.98,0.009180069,0,0,2,3,1765,89,0,-0.1600037,0,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 24,13942110,2020-01-08 16:07:45:704,0.0172,-3.1347,9.7442,-0.0262,-0.0372,9.8065,-0.0556,-0.2771,0.2474,-19,-34.25,2.25,297.3,-86.29,-152.78
58066.3,58066.30117,9,58066.3,52.2018416,-2.2014946,20.03,83.262,77.47,-0.19,0.1,12,20.21999,20.25,20.2,20.06,-0.2999878,20.21,0,0.01937985,0,2,3,1769,89,0,0.07000732,0,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 24,13942211,2020-01-08 16:07:45:805,0.4723,0.7587,10.6694,0.0096,0.0312,9.8065,-0.0864,0.0212,-0.0249,-19.44,-34.37,2.81,303.72,-86.31,-149.76
58066.4,58066.40017,9,58066.4,52.2018422,-2.2014865,20.07,82.318,77.44,-0.2,0.1,14.89996,20.38,20.31,20.32999,20.24,-0.2999878,20.3,0,-0.01938009,0,3,3,1750,89,0,0.07000732,0,13.6,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13942310,2020-01-08 16:07:45:904,0.9714,-0.2855,10.9212,-0.0083,0.0462,9.8065,0.1063,-0.2149,0.1281,-19.12,-35.06,2.31,296.59,-86.64,-153.86
58066.5,58066.50017,9,58066.5,52.2018428,-2.2014783,20.207,83.203,77.42,-0.2,0.1,14.59998,20.41,20.25,20.46,20.29,-0.7999878,20.36,-0.009180069,-0.01938009,0,3,3,1714,89,0,0.07000732,0,13.8,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13942410,2020-01-08 16:07:46:004,-0.5962,2.3595,9.0915,0.0083,0.0547,9.8065,-0.0602,-0.177,0.3415,-19.06,-34.62,1.13,294.16,-86.63,-153.15
58066.6,58066.59917,9,58066.6,52.2018433,-2.2014701,20.246,83.453,77.41,-0.18,0.1,12.39996,20.57,20.50999,20.50999,20.13,-0.2999878,20.32,-0.02958012,-0.03978014,0,3,3,1636,89,0,0.07000732,0,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13942509,2020-01-08 16:07:46:103,0.3753,-2.1055,9.7694,-0.009,0.01,9.8066,0.051,-0.2211,-0.0039,-19,-34.37,2.25,296.61,-86.49,-153.77
58066.7,58066.70017,9,58066.7,52.2018438,-2.2014619,20.178,84.156,77.39,-0.18,0.1,9.899963,20.45,20.38,20.38,20.24,-0.5,20.41,-0.01938009,0.009180069,0,3,3,1565,89,0,-0.1600037,0,13.7,14.25,0.5,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13942610,2020-01-08 16:07:46:204,-0.3436,0.1166,9.8932,0.0367,-0.0035,9.8066,-0.0646,-0.2516,0.0256,-19.37,-34.5,1.88,293.69,-86.17,-156.01
58066.8,58066.80017,9,58066.8,52.2018443,-2.2014536,20.549,83.757,77.36,-0.2,0.1,9.799988,20.39,20.32999,20.62,20.36,0,20.37,-0.009180069,0.02957988,0,3,3,1497,89,0,-0.1600037,0,13.7,14.25,0.5,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13942710,2020-01-08 16:07:46:304,-1.7611,-2.0101,7.8802,0.0432,0.054,9.8063,-0.1287,-0.097,0.1602,-18.75,-34.94,1.88,291.08,-86.02,-158.05
58066.9,58066.90017,9,58066.9,52.2018449,-2.2014452,20.617,83.689,77.35,-0.18,0.1,9.799988,20.48,20.41,20.32999,20.16,-0.2999878,20.47,-0.009180069,0.02957988,0,3,3,1404,89,0,0.07000732,0,13.8,14.25,0.5,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13942810,2020-01-08 16:07:46:404,0.161,0.4883,8.8612,0.0014,0.0377,9.8066,0.1229,-0.0853,-0.0069,-19.06,-34.19,2.75,292.39,-85.93,-159.85
58067,58067.00017,9,58067,52.2018454,-2.2014368,20.768,83.282,77.32,-0.19,0.1,9.599976,20.39999,20.50999,20.61,20.64999,0,20.5,-0.01938009,0.009180069,0,3,3,1310,89,0,0.07000732,0,13.8,14.25,0.5,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13942910,2020-01-08 16:07:46:504,-0.2742,-0.4675,9.1353,0.0242,0.0105,9.8066,-0.0394,-0.0864,-0.0396,-18.87,-35.37,2.63,284.35,-85.87,-167.28
58067.1,58067.10017,9,58067.1,52.201846,-2.2014285,20.606,83.185,77.31,-0.16,0.1,8.599976,20.57,20.64,20.71,20.61,0.1000061,20.57,-0.009180069,0,0,3,3,1221,89,0,-0.1600037,0,13.7,14.25,0.5,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13943010,2020-01-08 16:07:46:604,0.2958,0.9625,9.9825,-0.0214,-0.0032,9.8066,0.0428,0.0748,0.0029,-18.19,-35.06,2.19,279.81,-85.99,-168.84
58067.2,58067.19917,9,58067.2,52.2018465,-2.2014201,20.646,83.749,77.3,-0.16,0.1,7.399963,20.74,20.75,20.73,20.59,-0.1000061,20.71,-0.009180069,0.009180069,0,3,3,1178,89,0,-0.1600037,0,13.7,14.25,0.5,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13943109,2020-01-08 16:07:46:703,0.2506,-0.284,10.4771,-0.0083,-0.0068,9.8066,-0.0076,-0.033,0.0373,-18.5,-34.69,2.69,285.72,-86.12,-166.53
